question,answer
What equipment is needed for the Single-leg hack squat exercise?,Machine
What is the difficulty level of the Single-leg hack squat exercise?,Intermediate
What type of exercise is Single-leg hack squat?,Strength
What is the Narrow-stance hack squat exercise?,"The narrow-stance hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, or as a muscle-building movement during lower-body training, and is usually performed for moderate to high reps, such as 8-12 reps per set or more."
Which body part does the Narrow-stance hack squat exercise target?,Quadriceps
What equipment is needed for the Narrow-stance hack squat exercise?,Machine
What is the difficulty level of the Narrow-stance hack squat exercise?,Intermediate
What type of exercise is Narrow-stance hack squat?,Strength
Which body part does the Alternating Single-Leg Curl - Gethin Variation exercise target?,Quadriceps
What equipment is needed for the Alternating Single-Leg Curl - Gethin Variation exercise?,Machine
What is the difficulty level of the Alternating Single-Leg Curl - Gethin Variation exercise?,Intermediate
What type of exercise is Alternating Single-Leg Curl - Gethin Variation?,Strength
What is the Stiff-Legged Deadlift - Gethin Variation exercise?,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Which body part does the Stiff-Legged Deadlift - Gethin Variation exercise target?,Quadriceps
What equipment is needed for the Stiff-Legged Deadlift - Gethin Variation exercise?,Machine
What is the difficulty level of the Stiff-Legged Deadlift - Gethin Variation exercise?,Intermediate
What type of exercise is Stiff-Legged Deadlift - Gethin Variation?,Strength
What is the Single-Leg Press - Gethin Variation exercise?,"The single-leg leg press is an exercise targeting the quadriceps one leg at a time. Many lifters prefer the leg press to squatting for several reasons, including the perception that it’s safer for the spine."
Which body part does the Single-Leg Press - Gethin Variation exercise target?,Quadriceps
What equipment is needed for the Single-Leg Press - Gethin Variation exercise?,Machine
What is the difficulty level of the Single-Leg Press - Gethin Variation exercise?,Intermediate
What type of exercise is Single-Leg Press - Gethin Variation?,Strength
What is the Hack squat- exercise?,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more."
Which body part does the Hack squat- exercise target?,Quadriceps
What equipment is needed for the Hack squat- exercise?,Machine
What is the difficulty level of the Hack squat- exercise?,Intermediate
What type of exercise is Hack squat-?,Strength
What is the Smith machine lunge squat exercise?,"The Smith machine lunge squat is an exercise targeting the quads, glutes, and hamstrings. Using added weight allows you to overload the exercise beyond body weight and perform the movement in strength ranges. The Smith machine mimics a barbell but provides more stability."
Which body part does the Smith machine lunge squat exercise target?,Quadriceps
What equipment is needed for the Smith machine lunge squat exercise?,Machine
What is the difficulty level of the Smith machine lunge squat exercise?,Intermediate
What type of exercise is Smith machine lunge squat?,Strength
What is the Hack Squat - Gethin Variation exercise?,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more."
Which body part does the Hack Squat - Gethin Variation exercise target?,Quadriceps
What equipment is needed for the Hack Squat - Gethin Variation exercise?,Machine
What is the difficulty level of the Hack Squat - Gethin Variation exercise?,Expert
What type of exercise is Hack Squat - Gethin Variation?,Strength
What is the Leg Press - Gethin Variation exercise?,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.
Which body part does the Leg Press - Gethin Variation exercise target?,Quadriceps
What equipment is needed for the Leg Press - Gethin Variation exercise?,Machine
What is the difficulty level of the Leg Press - Gethin Variation exercise?,Intermediate
What type of exercise is Leg Press - Gethin Variation?,Strength
What is the AM Leg Press exercise?,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.
Which body part does the AM Leg Press exercise target?,Quadriceps
What equipment is needed for the AM Leg Press exercise?,Machine
What is the difficulty level of the AM Leg Press exercise?,Intermediate
What type of exercise is AM Leg Press?,Strength
What is the Leg extension exercise?,"The leg extension is a popular machine-based exercise for the legs, particularly the quadriceps. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Which body part does the Leg extension exercise target?,Quadriceps
What equipment is needed for the Leg extension exercise?,Machine
What is the difficulty level of the Leg extension exercise?,Intermediate
What type of exercise is Leg extension?,Strength
What is the UP Quad Extension exercise?,The leg extension is an isolation exercise for the quads.
Which body part does the UP Quad Extension exercise target?,Quadriceps
What equipment is needed for the UP Quad Extension exercise?,Machine
What is the difficulty level of the UP Quad Extension exercise?,Intermediate
What type of exercise is UP Quad Extension?,Strength
What is the UP Single-Leg Press exercise?,"The single-leg leg press is an exercise targeting the quadriceps one leg at a time. Many lifters prefer the leg press to squatting for several reasons, including the perception that it’s safer for the spine."
Which body part does the UP Single-Leg Press exercise target?,Quadriceps
What equipment is needed for the UP Single-Leg Press exercise?,Machine
What is the difficulty level of the UP Single-Leg Press exercise?,Intermediate
What type of exercise is UP Single-Leg Press?,Strength
What is the UP Leg Press exercise?,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.
Which body part does the UP Leg Press exercise target?,Quadriceps
What equipment is needed for the UP Leg Press exercise?,Machine
What is the difficulty level of the UP Leg Press exercise?,Intermediate
What type of exercise is UP Leg Press?,Strength
Which body part does the Pop Squat On Leg Press exercise target?,Quadriceps
What equipment is needed for the Pop Squat On Leg Press exercise?,Machine
What is the difficulty level of the Pop Squat On Leg Press exercise?,Intermediate
What type of exercise is Pop Squat On Leg Press?,Strength
What is the King Maker Leg Press exercise?,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.
Which body part does the King Maker Leg Press exercise target?,Quadriceps
What equipment is needed for the King Maker Leg Press exercise?,Machine
What is the difficulty level of the King Maker Leg Press exercise?,Intermediate
What type of exercise is King Maker Leg Press?,Strength
What is the Single-leg leg press exercise?,"The single-leg leg press is a machine exercise targeting the leg muscles, including the quads, glutes, and hamstrings. The leg press is often used as an accessory for squats or deadlifts, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more."
Which body part does the Single-leg leg press exercise target?,Quadriceps
What equipment is needed for the Single-leg leg press exercise?,Machine
What is the difficulty level of the Single-leg leg press exercise?,Intermediate
What type of exercise is Single-leg leg press?,Strength
What is the King Maker Hack Squat exercise?,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more."
Which body part does the King Maker Hack Squat exercise target?,Quadriceps
What equipment is needed for the King Maker Hack Squat exercise?,Machine
What is the difficulty level of the King Maker Hack Squat exercise?,Intermediate
What type of exercise is King Maker Hack Squat?,Strength
Which body part does the 30 Legs Feet-High Leg Press exercise target?,Quadriceps
What equipment is needed for the 30 Legs Feet-High Leg Press exercise?,Machine
What is the difficulty level of the 30 Legs Feet-High Leg Press exercise?,Intermediate
What type of exercise is 30 Legs Feet-High Leg Press?,Strength
Which body part does the 30 Legs Leg Press exercise target?,Quadriceps
What equipment is needed for the 30 Legs Leg Press exercise?,Machine
What is the difficulty level of the 30 Legs Leg Press exercise?,Intermediate
What type of exercise is 30 Legs Leg Press?,Strength
Which body part does the 30 Legs Leg Press Calf Raise exercise target?,Quadriceps
What equipment is needed for the 30 Legs Leg Press Calf Raise exercise?,Machine
What is the difficulty level of the 30 Legs Leg Press Calf Raise exercise?,Intermediate
What type of exercise is 30 Legs Leg Press Calf Raise?,Strength
Which body part does the 30 Legs Lying Leg Curl exercise target?,Quadriceps
What equipment is needed for the 30 Legs Lying Leg Curl exercise?,Machine
What is the difficulty level of the 30 Legs Lying Leg Curl exercise?,Intermediate
What type of exercise is 30 Legs Lying Leg Curl?,Strength
Which body part does the 30 Legs Machine Hack Squat exercise target?,Quadriceps
What equipment is needed for the 30 Legs Machine Hack Squat exercise?,Machine
What is the difficulty level of the 30 Legs Machine Hack Squat exercise?,Intermediate
What type of exercise is 30 Legs Machine Hack Squat?,Strength
Which body part does the 30 Legs Single-Leg Leg Extension exercise target?,Quadriceps
What equipment is needed for the 30 Legs Single-Leg Leg Extension exercise?,Machine
What is the difficulty level of the 30 Legs Single-Leg Leg Extension exercise?,Intermediate
What type of exercise is 30 Legs Single-Leg Leg Extension?,Strength
Which body part does the 30 Legs Single-Leg Leg Press exercise target?,Quadriceps
What equipment is needed for the 30 Legs Single-Leg Leg Press exercise?,Machine
What is the difficulty level of the 30 Legs Single-Leg Leg Press exercise?,Intermediate
What type of exercise is 30 Legs Single-Leg Leg Press?,Strength
Which body part does the 30 Legs Single-Leg Lying Leg Curl exercise target?,Quadriceps
What equipment is needed for the 30 Legs Single-Leg Lying Leg Curl exercise?,Machine
What is the difficulty level of the 30 Legs Single-Leg Lying Leg Curl exercise?,Intermediate
What type of exercise is 30 Legs Single-Leg Lying Leg Curl?,Strength
Which body part does the 30 Legs Smith Machine Split Squat exercise target?,Quadriceps
What equipment is needed for the 30 Legs Smith Machine Split Squat exercise?,Machine
What is the difficulty level of the 30 Legs Smith Machine Split Squat exercise?,Intermediate
What type of exercise is 30 Legs Smith Machine Split Squat?,Strength
Which body part does the 30 Legs Smith Machine Squat exercise target?,Quadriceps
What equipment is needed for the 30 Legs Smith Machine Squat exercise?,Machine
What is the difficulty level of the 30 Legs Smith Machine Squat exercise?,Intermediate
What type of exercise is 30 Legs Smith Machine Squat?,Strength
What is the Jumping rope exercise?,"Jumping rope is a classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance."
Which body part does the Jumping rope exercise target?,Quadriceps
What equipment is needed for the Jumping rope exercise?,Body Only
What is the difficulty level of the Jumping rope exercise?,Intermediate
What type of exercise is Jumping rope?,Cardio
What is the rating of the Jumping rope exercise?,9.2
What is the Forward lunge exercise?,"The forward lunge is a lower-body bodyweight exercise targeting the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. The forward lunge places more emphasis on the quads than other lunge variations. It can be performed for time or reps in the lower-body portion of any workout."
Which body part does the Forward lunge exercise target?,Quadriceps
What equipment is needed for the Forward lunge exercise?,Body Only
What is the difficulty level of the Forward lunge exercise?,Intermediate
What type of exercise is Forward lunge?,Strength
What is the rating of the Forward lunge exercise?,9.0
What is the Side-to-side box skip exercise?,"The side-to-side box skip is an explosive lower-body exercise that involves jumping laterally over a bench or box, landing with one foot on top of the surface, and then switching positions. It primarily targets the muscles of the lower body, but is also a serious cardiovascular challenge. It is often performed for high reps or for time as part of a fat-loss or athleticism-focused workout or circuit."
Which body part does the Side-to-side box skip exercise target?,Quadriceps
What equipment is needed for the Side-to-side box skip exercise?,Body Only
What is the difficulty level of the Side-to-side box skip exercise?,Intermediate
What type of exercise is Side-to-side box skip?,Plyometrics
What is the rating of the Side-to-side box skip exercise?,8.9
What is the Bodyweight squat exercise?,"The bodyweight squat is a fundamental exercise that strengthens the quads, glutes, and hamstrings. It can be performed as part of a dynamic warm-up, for time or reps during a workout, or for hip and spine mobility any time."
Which body part does the Bodyweight squat exercise target?,Quadriceps
What equipment is needed for the Bodyweight squat exercise?,Body Only
What is the difficulty level of the Bodyweight squat exercise?,Intermediate
What type of exercise is Bodyweight squat?,Strength
What is the rating of the Bodyweight squat exercise?,8.8
What is the Broad jump exercise?,"The broad jump is an explosive lower-body exercise. It is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the farther you'll be able to jump."
Which body part does the Broad jump exercise target?,Quadriceps
What equipment is needed for the Broad jump exercise?,Body Only
What is the difficulty level of the Broad jump exercise?,Intermediate
What type of exercise is Broad jump?,Plyometrics
What is the rating of the Broad jump exercise?,8.8
What is the Burpee exercise?,"The burpee is a high-intensity exercise that recruits the entire body to build strength and aerobic capacity. It is common in CrossFit workouts and group fitness classes, but can also be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
Which body part does the Burpee exercise target?,Quadriceps
What equipment is needed for the Burpee exercise?,Body Only
What is the difficulty level of the Burpee exercise?,Intermediate
What type of exercise is Burpee?,Cardio
What is the rating of the Burpee exercise?,8.8
Which body part does the Trail Running/Walking exercise target?,Quadriceps
What equipment is needed for the Trail Running/Walking exercise?,Body Only
What is the difficulty level of the Trail Running/Walking exercise?,Intermediate
What type of exercise is Trail Running/Walking?,Cardio
What is the rating of the Trail Running/Walking exercise?,8.7
What is the Scissors Jump exercise?,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout."
Which body part does the Scissors Jump exercise target?,Quadriceps
What equipment is needed for the Scissors Jump exercise?,Body Only
What is the difficulty level of the Scissors Jump exercise?,Expert
What type of exercise is Scissors Jump?,Plyometrics
What is the rating of the Scissors Jump exercise?,8.5
What is the Jumping jack- exercise?,"The jumping jack is a classic calisthenics exercise to improve overall conditioning. It’s one the most recognizable exercises on the planet, and it’s almost synonymous with training for military recruits. It can be done for time or reps, often in dynamic warm-ups or to mobilize the hips and shoulders."
Which body part does the Jumping jack- exercise target?,Quadriceps
What equipment is needed for the Jumping jack- exercise?,Body Only
What is the difficulty level of the Jumping jack- exercise?,Intermediate
What type of exercise is Jumping jack-?,Plyometrics
What is the rating of the Jumping jack- exercise?,8.5
What is the Arms-crossed jump squat exercise?,"The arms-crossed jump squat is an explosive version of the jump squat. Crossing your arms eliminates any extra power that could come from swinging your arms, making the movement extra strict and challenging for the lower body. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout."
Which body part does the Arms-crossed jump squat exercise target?,Quadriceps
What equipment is needed for the Arms-crossed jump squat exercise?,Body Only
What is the difficulty level of the Arms-crossed jump squat exercise?,Intermediate
What type of exercise is Arms-crossed jump squat?,Strength
What is the rating of the Arms-crossed jump squat exercise?,8.4
What is the Bodyweight Reverse Lunge exercise?,"The reverse lunge is a lower-body exercise targeting the quads, glutes, and hamstrings. The reverse lunge places more emphasis on the glutes than other lunge variations."
Which body part does the Bodyweight Reverse Lunge exercise target?,Quadriceps
What equipment is needed for the Bodyweight Reverse Lunge exercise?,Body Only
What is the difficulty level of the Bodyweight Reverse Lunge exercise?,Intermediate
What type of exercise is Bodyweight Reverse Lunge?,Strength
What is the rating of the Bodyweight Reverse Lunge exercise?,8.3
Which body part does the Alien Squat exercise target?,Quadriceps
What equipment is needed for the Alien Squat exercise?,Body Only
What is the difficulty level of the Alien Squat exercise?,Beginner
What type of exercise is Alien Squat?,Plyometrics
What is the rating of the Alien Squat exercise?,8.2
What is the Treadmill walking exercise?,"Treadmill walking is a popular cardiovascular exercise performed on a machine that is available in most gyms. Performing this exercise on a treadmill allows you to adjust the speed of your walking and, depending on the machine, perform it on an adjustable incline. Many machines also have built-in heart rate monitors and timers to help you track your progress."
Which body part does the Treadmill walking exercise target?,Quadriceps
What equipment is needed for the Treadmill walking exercise?,Body Only
What is the difficulty level of the Treadmill walking exercise?,Intermediate
What type of exercise is Treadmill walking?,Cardio
What is the rating of the Treadmill walking exercise?,8.2
Which body part does the Rocket Jump exercise target?,Quadriceps
What equipment is needed for the Rocket Jump exercise?,Body Only
What is the difficulty level of the Rocket Jump exercise?,Beginner
What type of exercise is Rocket Jump?,Plyometrics
What is the rating of the Rocket Jump exercise?,8.0
What is the Depth jump box jump exercise?,"The depth jump box jump is a plyometric exercise that entails jumping off one box, dropping into a squat, and then jumping up onto another box. These are all performed fluidly to complete one rep. Depth jumps have been a staple of high-level athletic programming for decades. They are usually performed for low reps with a focus on power and technique. If they hurt your knees or back, consider performing box jumps or squat jumps instead."
Which body part does the Depth jump box jump exercise target?,Quadriceps
What equipment is needed for the Depth jump box jump exercise?,Body Only
What is the difficulty level of the Depth jump box jump exercise?,Intermediate
What type of exercise is Depth jump box jump?,Plyometrics
What is the rating of the Depth jump box jump exercise?,8.0
What is the Bodyweight Walking Lunge exercise?,"The walking lunge is a lower-body exercise that targets the glutes, quads, and hamstrings while challenging stability and balance. It can be performed for reps, time, or distance in the lower-body portion of any workout."
Which body part does the Bodyweight Walking Lunge exercise target?,Quadriceps
What equipment is needed for the Bodyweight Walking Lunge exercise?,Body Only
What is the difficulty level of the Bodyweight Walking Lunge exercise?,Intermediate
What type of exercise is Bodyweight Walking Lunge?,Strength
What is the rating of the Bodyweight Walking Lunge exercise?,8.0
Which body part does the Walking High Knees exercise target?,Quadriceps
What equipment is needed for the Walking High Knees exercise?,Body Only
What is the difficulty level of the Walking High Knees exercise?,Intermediate
What type of exercise is Walking High Knees?,Cardio
What is the rating of the Walking High Knees exercise?,7.8
What is the Lateral lunge exercise?,"The lateral lunge is a lower-body bodyweight movement that works the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. It is often performed for reps as part of a dynamic warm-up or mobility routine but can also work in a circuit or other workouts."
Which body part does the Lateral lunge exercise target?,Quadriceps
What equipment is needed for the Lateral lunge exercise?,Body Only
What is the difficulty level of the Lateral lunge exercise?,Intermediate
What type of exercise is Lateral lunge?,Strength
What is the rating of the Lateral lunge exercise?,7.8
What is the Jump Squat exercise?,"The jump squat is an explosive bodyweight exercise targeting the quads, hamstrings, and glutes. It is also a serious cardiovascular challenge when done for reps. It can be performed as a power exercise to build jumping power, or in any fat-loss or athleticism-focused workout."
Which body part does the Jump Squat exercise target?,Quadriceps
What equipment is needed for the Jump Squat exercise?,Body Only
What is the difficulty level of the Jump Squat exercise?,Intermediate
What type of exercise is Jump Squat?,Plyometrics
What is the rating of the Jump Squat exercise?,7.6
What is the Over bench jump exercise?,The over bench jump is a plyometric exercise requiring only a weight bench to perform. It improves jumping ability and athleticism while burning a lot of calories.
Which body part does the Over bench jump exercise target?,Quadriceps
What equipment is needed for the Over bench jump exercise?,Body Only
What is the difficulty level of the Over bench jump exercise?,Intermediate
What type of exercise is Over bench jump?,Plyometrics
What is the rating of the Over bench jump exercise?,7.5
What is the Split Jump exercise?,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout."
Which body part does the Split Jump exercise target?,Quadriceps
What equipment is needed for the Split Jump exercise?,Body Only
What is the difficulty level of the Split Jump exercise?,Intermediate
What type of exercise is Split Jump?,Plyometrics
What is the rating of the Split Jump exercise?,7.5
What is the 90-degree jump squat exercise?,"The 90-degree jump squat is an explosive bodyweight exercise that targets the muscles of the lower body, including the quads, glutes, and hamstrings, as well as the cardiovascular system. It can be performed for time or reps, usually in a fat-loss or athleticism-focused circuit workout."
Which body part does the 90-degree jump squat exercise target?,Quadriceps
What equipment is needed for the 90-degree jump squat exercise?,Body Only
What is the difficulty level of the 90-degree jump squat exercise?,Intermediate
What type of exercise is 90-degree jump squat?,Plyometrics
What is the rating of the 90-degree jump squat exercise?,7.0
What is the Skip exercise?,"The skip is an exercise that builds power and explosiveness in the legs. It's commonly performed by children and in gym classes, but is also great for working the legs and hip flexors, making it a favorite warm-up for athletes who need to explode vertically."
Which body part does the Skip exercise target?,Quadriceps
What equipment is needed for the Skip exercise?,Body Only
What is the difficulty level of the Skip exercise?,Intermediate
What type of exercise is Skip?,Plyometrics
What is the rating of the Skip exercise?,5.5
What is the Kneeling hip flexor stretch exercise?,"The kneeling hip flexor stretch is a stretch targeting greater flexibility in the front side of the hips. It targets a chronically tight muscle group and is often performed as part of a dynamic warm-up, a cool-down, or as recovery work after training."
Which body part does the Kneeling hip flexor stretch exercise target?,Quadriceps
What equipment is needed for the Kneeling hip flexor stretch exercise?,Body Only
What is the difficulty level of the Kneeling hip flexor stretch exercise?,Intermediate
What type of exercise is Kneeling hip flexor stretch?,Stretching
What is the rating of the Kneeling hip flexor stretch exercise?,5.4
Which body part does the Iron Crosses (stretch) exercise target?,Quadriceps
What equipment is needed for the Iron Crosses (stretch) exercise?,Body Only
What is the difficulty level of the Iron Crosses (stretch) exercise?,Intermediate
What type of exercise is Iron Crosses (stretch)?,Stretching
What is the rating of the Iron Crosses (stretch) exercise?,5.2
Which body part does the All Fours Quad Stretch exercise target?,Quadriceps
What equipment is needed for the All Fours Quad Stretch exercise?,Body Only
What is the difficulty level of the All Fours Quad Stretch exercise?,Beginner
What type of exercise is All Fours Quad Stretch?,Stretching
What is the rating of the All Fours Quad Stretch exercise?,5.0
What is the Lying quad stretch with band exercise?,"The lying quad stretch with band is a simple way to stretch a chronically tight muscle group of the lower body. It is common in stretching and yoga classes but can also be performed individually as part of a warm-up, paired with movements in a workout, or as part of a cool-down or recovery strategy."
Which body part does the Lying quad stretch with band exercise target?,Quadriceps
What equipment is needed for the Lying quad stretch with band exercise?,Body Only
What is the difficulty level of the Lying quad stretch with band exercise?,Intermediate
What type of exercise is Lying quad stretch with band?,Stretching
What is the rating of the Lying quad stretch with band exercise?,4.9
Which body part does the One Half Locust exercise target?,Quadriceps
What equipment is needed for the One Half Locust exercise?,Body Only
What is the difficulty level of the One Half Locust exercise?,Intermediate
What type of exercise is One Half Locust?,Stretching
What is the rating of the One Half Locust exercise?,4.7
Which body part does the Standing Hip Flexors exercise target?,Quadriceps
What equipment is needed for the Standing Hip Flexors exercise?,Body Only
What is the difficulty level of the Standing Hip Flexors exercise?,Intermediate
What type of exercise is Standing Hip Flexors?,Stretching
What is the rating of the Standing Hip Flexors exercise?,4.4
Which body part does the Looking At Ceiling exercise target?,Quadriceps
What equipment is needed for the Looking At Ceiling exercise?,Body Only
What is the difficulty level of the Looking At Ceiling exercise?,Intermediate
What type of exercise is Looking At Ceiling?,Stretching
What is the rating of the Looking At Ceiling exercise?,4.3
Which body part does the Rear Leg Raises exercise target?,Quadriceps
What equipment is needed for the Rear Leg Raises exercise?,Body Only
What is the difficulty level of the Rear Leg Raises exercise?,Beginner
What type of exercise is Rear Leg Raises?,Stretching
What is the rating of the Rear Leg Raises exercise?,3.4
Which body part does the On Your Side Quad Stretch exercise target?,Quadriceps
What equipment is needed for the On Your Side Quad Stretch exercise?,Body Only
What is the difficulty level of the On Your Side Quad Stretch exercise?,Intermediate
What type of exercise is On Your Side Quad Stretch?,Stretching
What is the rating of the On Your Side Quad Stretch exercise?,3.3
Which body part does the On-Your-Back Quad Stretch exercise target?,Quadriceps
What equipment is needed for the On-Your-Back Quad Stretch exercise?,Body Only
What is the difficulty level of the On-Your-Back Quad Stretch exercise?,Intermediate
What type of exercise is On-Your-Back Quad Stretch?,Stretching
What is the rating of the On-Your-Back Quad Stretch exercise?,3.3
Which body part does the Standing Elevated Quad Stretch exercise target?,Quadriceps
What equipment is needed for the Standing Elevated Quad Stretch exercise?,Body Only
What is the difficulty level of the Standing Elevated Quad Stretch exercise?,Intermediate
What type of exercise is Standing Elevated Quad Stretch?,Stretching
What is the rating of the Standing Elevated Quad Stretch exercise?,2.7
What is the Thigh killa exercise?,"The thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher."
Which body part does the Thigh killa exercise target?,Quadriceps
What equipment is needed for the Thigh killa exercise?,Body Only
What is the difficulty level of the Thigh killa exercise?,Intermediate
What type of exercise is Thigh killa?,Strength
What is the rating of the Thigh killa exercise?,0.0
What is the Southpaw sprawl exercise?,"The southpaw sprawl is a full-body movement that combines elements of a single-arm plank and a sprawl. It also has a rotational component, with a jumping leg-cross and torso twist in a single-arm plank position. It is a challenging move that trains balance, core strength, and many muscle groups, making it work well in a time-efficient bodyweight circuit workout."
Which body part does the Southpaw sprawl exercise target?,Quadriceps
What equipment is needed for the Southpaw sprawl exercise?,Body Only
What is the difficulty level of the Southpaw sprawl exercise?,Intermediate
What type of exercise is Southpaw sprawl?,Plyometrics
What is the rating of the Southpaw sprawl exercise?,0.0
Which body part does the Stride Jump Crossover exercise target?,Quadriceps
What equipment is needed for the Stride Jump Crossover exercise?,Body Only
What is the difficulty level of the Stride Jump Crossover exercise?,Intermediate
What type of exercise is Stride Jump Crossover?,Plyometrics
What is the rating of the Stride Jump Crossover exercise?,0.0
Which body part does the Side Standing Long Jump exercise target?,Quadriceps
What equipment is needed for the Side Standing Long Jump exercise?,Body Only
What is the difficulty level of the Side Standing Long Jump exercise?,Intermediate
What type of exercise is Side Standing Long Jump?,Plyometrics
What is the rating of the Side Standing Long Jump exercise?,0.0
What is the Wall squat exercise?,"The wall squat is a bodyweight exercise targeting the quadriceps, as well as other muscles in the lower body and core. The lifter's back is flat against a wall, and the back slides down and up the wall during each rep. If you don't have a smooth wall to slide on, the exercise can also be performed with an exercise ball between the back and the wall."
Which body part does the Wall squat exercise target?,Quadriceps
What equipment is needed for the Wall squat exercise?,Body Only
What is the difficulty level of the Wall squat exercise?,Intermediate
What type of exercise is Wall squat?,Strength
What is the rating of the Wall squat exercise?,0.0
Which body part does the Slide Jump Shot exercise target?,Quadriceps
What equipment is needed for the Slide Jump Shot exercise?,Body Only
What is the difficulty level of the Slide Jump Shot exercise?,Beginner
What type of exercise is Slide Jump Shot?,Plyometrics
What is the rating of the Slide Jump Shot exercise?,0.0
What is the Sprawl frog kick exercise?,"The sprawl frog kick is an explosive bodyweight exercise that targets multiple muscle groups across the upper and lower body. It is similar to a traditional sprawl, but with an extra hop in the middle of each rep. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
Which body part does the Sprawl frog kick exercise target?,Quadriceps
What equipment is needed for the Sprawl frog kick exercise?,Body Only
What is the difficulty level of the Sprawl frog kick exercise?,Intermediate
What type of exercise is Sprawl frog kick?,Plyometrics
What is the rating of the Sprawl frog kick exercise?,0.0
Which body part does the Lateral Speed Step exercise target?,Quadriceps
What equipment is needed for the Lateral Speed Step exercise?,Body Only
What is the difficulty level of the Lateral Speed Step exercise?,Intermediate
What type of exercise is Lateral Speed Step?,Cardio
What is the rating of the Lateral Speed Step exercise?,0.0
Which body part does the Side Hop-Sprint exercise target?,Quadriceps
What equipment is needed for the Side Hop-Sprint exercise?,Body Only
What is the difficulty level of the Side Hop-Sprint exercise?,Intermediate
What type of exercise is Side Hop-Sprint?,Plyometrics
What is the rating of the Side Hop-Sprint exercise?,0.0
What is the Pop squat exercise?,"The pop squat is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It is similar to a jump squat, but alternates between a narrow and wide stance with each jump. It can be performed for time or reps in power training and is also effective in any fat-loss or athleticism-focused workout."
Which body part does the Pop squat exercise target?,Quadriceps
What equipment is needed for the Pop squat exercise?,Body Only
What is the difficulty level of the Pop squat exercise?,Intermediate
What type of exercise is Pop squat?,Plyometrics
What is the rating of the Pop squat exercise?,0.0
Which body part does the Star Jump exercise target?,Quadriceps
What equipment is needed for the Star Jump exercise?,Body Only
What is the difficulty level of the Star Jump exercise?,Beginner
What type of exercise is Star Jump?,Plyometrics
What is the rating of the Star Jump exercise?,0.0
What is the Side Lunge Touching Heel exercise?,"The side lunge cross-body heel-touch is a lower-body exercise targeting the quads, glutes, and hamstrings. The heel-touch adds a slight rotational challenge."
Which body part does the Side Lunge Touching Heel exercise target?,Quadriceps
What equipment is needed for the Side Lunge Touching Heel exercise?,Body Only
What is the difficulty level of the Side Lunge Touching Heel exercise?,Intermediate
What type of exercise is Side Lunge Touching Heel?,Strength
What is the rating of the Side Lunge Touching Heel exercise?,0.0
Which body part does the Lying Prone Quadriceps exercise target?,Quadriceps
What equipment is needed for the Lying Prone Quadriceps exercise?,Body Only
What is the difficulty level of the Lying Prone Quadriceps exercise?,Beginner
What type of exercise is Lying Prone Quadriceps?,Stretching
What is the rating of the Lying Prone Quadriceps exercise?,0.0
Which body part does the Fast Kick With Arm Circles exercise target?,Quadriceps
